record_id,given_name,family_name,DOB,sex,phone_number,household_street_address,household_zip,parent_given_name,parent_family_name,parent_email
19440525,ROBYN OLGA,KRAUSE,2009-10-15,F,7202220628,2176 PAINT PONY CIR,80108-8446,JUTTA BARBARA,KRAUSE,HIRUKA@HIRUKA.COM
19438120,CARTER DEN,ALCOCK,2009-05-29,M,7208518387,8604 E NASSAU AVE,80237-1707,CARL BARRETT,"ALCOCK, SR.",CARL_BA67@GMAIL.COM
19441482,BRADFORD STEPHAN,PETTENGILL,2009-07-11,M,3036444314,3074 E 110TH DR,80233-4662,SABELLA ETHEL,PETTENGILL,ISABELLE.BARBERET@GIF.COM
19438748,SAM Z@CH,CAMPWELL,2012-09-10,M,3034275650,17082 E 19TH PL,80011-4911,EBONY MIKAELA,CARR-CAMPW,EBO.CAMPWELL@LOZARACING.COM
19442079,I GOLZAR,NAZERI,2010-07-14,F,3033551087,6425 S KIRK CT,80016-3821,AMIR DARIUSH,ALAVI,JWH@LOKALAVISEN.ORG
19437886,LAUREN MARGRET,RAUH,2090-09-18,F,3037723709,14703 E CASPIAN PL,80219.0,,THOMAS,DAMIANADAMS@HOTMAIL.COM
19443387,KEVIN CARLOS,QUINONES,2010-06-25,M,3038403823,6142 N GENOA ST,80019-2005,CAMILA MARIANA,QUINONES,EDALVAREZ.INSERTA@FUNDACIONONCE.COM
19440759,NICHOLAS JESSE,ROWE,2010-01-26,M,,9518 LOGGIA ST UNIT D,80126-7641,MELODY DONNA,ROWE,NIGEL@DIGIBYTE.COM
19438458,SARAH JANE K.,SPENCER,2013-01-08,F,3036802574,504 BEAUPREZ            AVE,80134-7621,DR. DOUG DORAN,SPENCER,DDSPENCER@GMAIL.NET
19437778,JEREMY THOMAS,SNOWDEN,2013-02-06,M,3038563108,305 ONYX WAY,80223  1420,WILLIAM,SNOWDEN,WILL_FX@GMAIL.COM
19438158,MEGAN LILLY,DALTON,2009-10-12,F,3037929743,810 20TH ST APT 404,80302-7746,CHRISTY-ADRIENNE,DALTON,CHRISTY@DALTONFAM.COM
19441812,KADEN CHAPMAN,RHOADES,2014-06-18,M,3039269983,1155 MARINE ST APT 401,80302-6154,MYRTLE SISSY,RHOADES,JOANMA@TORRESASSOCIADES.COM
19437826,JENNIFER LUZ,CASTRO,2010-03-12,F,3039852194,23958 E ALAMO PL,80016-4246,MARTIN H H,VARELA,MARTINVARELA@GMAIL.COM
19439218,FELICITY ANNE,LYONS,2008-06-03,F,,6039 S YAKIMA ST,80015-6655,DR. NANCY AMAND.,LYONSJOHNSTON,NOTES4TAYLOR@GMAIL.COM
19440390,KRISTEN REGINA,RAASCH,2011-09-24,F,3034399401,2331 ALTON ST,80238-2767,PHILLIPP CONRAD,RAASCH,NOW@PHILIP.NET
19437756,MILLIE MAGDALENA MAJDA,TOMASKOVIC,2010-07-31,F,3033464848,74611 LANSBURY LANE,80233.0,NEDZAD,TOMASKOVICH,NATS_FAN467@GMAIL.COM
19441650,MATHEW ULRIC,BOLES,2012-05-03,M,3034301276,6651 NEWPORT ST,80022-2834,BERT OSWALD,BOLES,ALBERTO@LOQUESIGUE.COM
19442928,DOMINIQUE DANIELA,TRUJILLO,2011-06-21,F,3039529848,1 WHITE BIRCH,80127-3551,EMILY KIARA,TRUJILLO,JEMIL@JEMIL.NET
19442967,CHRISTOPHER JUAN FRANCISCO,ORTIZ,2011-02-28,M,,9757 KITTREDGE ST,80022-9292,KARINA ANDREA,ORTIZ,A.ORTIZ@AQUATARIUM.NET
19438792,ABIIGAIL JOEL,BANKS,2013-03-08,F,3033774115,18231 COTTONWOOD DR,80138-8934,JERRY DENMARK,BANKS-RODRIGUEZ,J_E_S_BANKS@GMAIL.COM
19438520,KAYLEE ELLEN,BEILER,2012-06-19,F,3034940474,6048 S BISCAY WAY,80241-1536,ROBERT DOROTHEA,BEILER BOEH,ROBBIE179@GMAIL.COM
19438456,BABY BOY,HOLLAND-MUTTON,2009-09-28,M,,1275 CAROLINA AVE,80501-4206,DAVID ALGER,MUTTON,DAVE@TSGSFILMS.COM
19438900,TINA UT,NGUYEN,2012-04-12,F,,11925 MONROE WAY,80233-1631,DUNG VUI,NGUYEN,PATINO.ANA@BDG.COM
19439376,ZADA ANDREA,MCKAY,2006-06-08,F,9049556,7439 W WARREN CIRCLE    APT 3108,80227-2761,LAURENCE JARLATH;,MC KAY,JARLATHCRYSTALS@GMAIL.COM
19438950,HANNAH GALE,MCCLURE,2009-07-04,F,7203280234,7746 FIR      ST APT 4,80014-5215,TRAVIS  LENNON,ANDREW MCCLU,BOYKIE191@GMAIL.COM
19439461,SERGIO REY,MARTINEZ,2014-06-23,M,,7621 S MONACO WAY,80112-2580,ANNA KIARA,NAREZ-MARTINEZ,ANNANAREZMARTINEZ@GMAIL.COM
19438556,ESTELA MARCELA,ESCAMILLA,2013-04-27,F,3033849320,9679 SOUTH-SALEM CT,80130-5316,ALEXANDER-FELIPE MNU,ESCAMILLA,F.ESCAMILLA@DOCKANDBAY.COM
19437704,MELISSA HAYLEY,YARBROU,2012-05-13,F,,4340  S  PEARL  ST,80113-5829,ALISA TORI,YARBROUGH-SMITH,ATY@MSN.COM
19442637,MARIA GARBINE,NUNEZ DE SANTIAGO,2011-02-22,F,7203798180,1103 PENNSYLVANIA AVE,80302-7020,JIMENA NURIA,NUNEZ DE SANTIAGO,MARIA@JONSANTIAGO.ORG
19439629,KYLE CHRISTOPHER,BALLANTINE-ARMSTRONG,2015-01-13,M,3032865993,11669 JOSEPHINE ST.,80233-2342,RANDY BILL,FERGUSON,ICYNOSURE@GMAIL.COM
19438544,ANDREW ROBERTINO,OLSON,2010-02-13,M,3034853983,16557 LAFAYETTE ST,80602-7669,ANDREW OLSON,[''],REALANDREWOLSON@GMAIL.COM
19438778,S VEVILA,SCANLAN,2010-07-01,F,,1201 S IRVING ST,80219-3912,MARYYANN,SCANLAN,ZETIBEATS@GMAIL.COM
19442196,ANTONIO OMAR,MAALIKI,2013-05-16,M,3032209182,5723 S KITTREDGE ST,80015-4003,ROSEY HENNA,MAALIKI,
19440453,BABITA REGINA,NEUPANE,2013-06-19,F,3032745977,6755 LIONSHEAD PKWY,80124-9533,KRISTIAN JORN,NEUPANE,RT@RISEUP.NET
19440012,JOSH OLIVER,HECKARD,2013-06-19,M,3036935787,280 29TH ST,80305-3314,COURTNEY MISTY,HECKARD,COURTNEYGRAY@LCAD.EDU
19443672,ZACHARY SAKARIAS,CARLSON,2009-10-16,M,3037414044,4664 16TH ST,80304-2372,CORNELIA ALVA,CARLSON,S.C.@CORINTHIANS.EDU
19442184,NATALIE P,KURODA,2011-09-15,F,3033863068,2470 S NAPLES WAY,80013-1465,TOMOFUMI TAISHUU,KAGIYAMA,VICKY.FOXCROFT.MP@PARLIAMENT.EDU
19440003,JANOAH MARSHALL,ANDRE,2010-05-11,M,3033206554,112 S JOLIET CIR APT 208,80012-1078,NEAL JEROME,ANDRE,SARA.GIL@ONDACERO.EDU
19439520,AVA WINNIFRED,FRIEND,2011-12-03,F,3037637016,9032 N 111TH AVE,80236-4032,SRINIVAS BOON,FRIEND,SRINIVASF@GMAIL.COM
19438944,CHRISTOPHER JUSTIN,KINNEY,2011-05-07,M,3039795758,2809 BING ST.,80210-3552,MAROINALANA,XXX,CHRISTOPHERJSMOM@GMAIL.COM
19442097,ADITYA INDRANIL,MANTHA,2011-09-16,M,3034694337,263 S JASPER CIR APT 203,80017-3673,TIYA JAYANTI,MANTHA,BANTHATISALVATION@GMAIL.COM
19440822,AIRICA MAVIS,BEATY,2011-07-08,F,3033462703,900 10TH ST,80401-1026,DONNA REENIE,BEATY,HCMENDONCA@REMAX.COM
19442007,KENZIE WHITNEY,NOWLAND,2010-12-05,F,3034225334,5122 DILLON ST,80239-4140,ALMA AVRIL,NOWLAND,ADAM@ASTONMEAD.ORG
19441359,TREVOR JULIAN,EMRICK,2009-03-27,M,3036178494,11975 E HARVARD AVE # 3-107,80014-5497,DENA LINDY,EMRICK,PUBLICIDAD@CLICKCHE.COM
19442508,EDUARDO KEVIN,CASTILLO,2014-04-08,M,,354 NEPTUNE CT,80124-2716,MARTINA DELIA,CASTILLO,MARTIN@TRECKIE.EDU
19440021,CAMERON JIM,SINCLAIR,2013-07-14,M,3034229249,3779 N WILLIAMS ST,80205-3452,DENTON DANE,SINCLAIR,DMINTON@QUINCYMA.COM
19439330,SARAH ELEANOR,RUEFF,2018-03-13,F,3039809503,7768   SPARROW   BURRY   WAY,80007-8043,ANDREA URSULA,RUEFF,BUGSLIFE33@GMAIL.COM
19438558,IRVING AARON,LEYVA,2011-06-28,M,7208420466,445 SOUTH WESTBROOK WAY,80229-2535,LEO ADEMAR,LEYVA,LEYVA.LEO228@MEDICALTRAVEL.NET
19442826,JOSE MARCOS,SOLIS,2013-09-23,M,3033401777,11236 DOWNING DR,80233-3113,AMANDA CAMILA,SOLIS,KIMMIRANDAZZO@COMCAST.NET
19442442,NATHANIEL HIGGINS,MCKERNAN,2009-07-15,M,3039558655,14875 E 46TH AVE,80239-6414,CORRIGAN CEALLACHAN,MCKERNAN,REPORTER3@NOGALESINTERNATIONAL.COM
19438408,LAURA-EITHNA,CORLISS,2013-12-04,F,2960207,83 E DELTA ST,80219.0,STEVEN LUTA,BRAVE,BRAVEATMUSIC@GMAIL.COM
19442877,KATHIA DOLORES,MORALES,2009-02-09,F,3037706214,8791 WILDRYE CIR,80134-9289,AXEL ANTERO,ARELLANO,BELLANOV@BELLANOV.COM
19439529,SOL TIMOTEO,GONZALES,2008-01-10,M,7208704770,60 HAWK AVE,80503-7694,TONI,LENA LUCER0,ASMTTRUST@GMAIL.COM
19440084,ROMELO JOJO,CLASSEN,2012-09-19,M,3034641991,10258 DUSK CT,80125-8969,SARAH MARIAM,CLASSEN,SUSANA.ARAYA@LASERENA.ORG
